,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
0,2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,66.0,3,398,2025-01-03,2.05,1,10,31,0363 5F3A 5684 6750 D14D
2,28871,Comfortable double room,124245,Edwin,Centrum-West,52.36775,4.89092,Private room,75.0,2,677,2025-02-28,3.83,2,84,94,0363 607B EA74 0BD8 2F6F
3,29051,Comfortable single room,124245,Edwin,Centrum-Oost,52.36584,4.89111,Private room,59.0,2,794,2025-03-02,4.67,2,84,85,0363 607B EA74 0BD8 2F6F
6,49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,Centrum-West,52.38028,4.89089,Entire home/apt,259.0,3,578,2025-02-11,3.31,1,197,57,0363 576A D827 5085 6B83
7,50263,Cent Adam de Lux 2 bedrooms (4p) apt 125 sqm,230246,Donald,Centrum-Oost,52.37118,4.93146,Entire home/apt,404.0,3,166,2024-08-18,0.95,1,349,7,0363 7F3D 0BAE 28C8 C7D2
8,50515,"Family Home (No drugs, smoking or parties)",231864,Karin,Bos en Lommer,52.37559,4.83857,Entire home/apt,229.0,7,18,2025-02-19,0.14,1,83,5,0363 5DDB E495 A6D5 CEC6
9,50523,B & B de 9 Straatjes (city center),231946,Raymond,Centrum-West,52.36811,4.88262,Entire home/apt,150.0,2,516,2025-02-12,2.99,1,179,68,0363 22DC 0E52 B70B 0FB8
13,62015,"Charming, beautifully & sunny place",301340,Jessica,Oud-Oost,52.36431,4.93122,Entire home/apt,200.0,2,38,2024-03-31,0.22,1,28,2,0363 B090 499C D757 7F4F
16,97221,Beautiful and spacious room,195859,Gianni,Slotervaart,52.34801,4.83639,Private room,56.0,2,389,2025-01-29,2.34,2,292,64,0363 BCBA 6311 3268 DC8C
17,137026,Entire house with garden in De Pijp,670266,Ton & Fede,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,315.0,2,109,2024-11-03,0.68,1,163,5,0363 67D6 8568 BA8A F738
19,158633,"Typical Dutch house, quiet area, close to centre",761321,Marlouke,Noord-Oost,52.39364,4.94538,Entire home/apt,279.0,3,17,2024-08-17,0.1,1,61,3,0363 D141 1024 C60E 96BA
22,179528,Authentic Amsterdam apartment RAI,856540,Pierre,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,298.0,10,36,2024-09-25,0.22,2,207,3,0363 1C26 67B4 C610 1758
23,188347,"Well-lit, Cozy Room in Amsterdam West",907405,Yahav,De Baarsjes - Oud-West,52.3683,4.85446,Private room,55.0,3,452,2025-02-24,2.74,1,52,49,0363 7C68 38F7 176D 8CDF
24,189754,Metropolitan B&B centre Amsterdam,915591,Marijn,Centrum-West,52.37548,4.89398,Entire home/apt,208.0,2,395,2025-02-23,2.41,1,182,48,0363 08BD B22D FCC2 5F83
31,245927,Sonnenberg - Canal side & view - Private & Central,1005087,Wytse,Centrum-West,52.36815,4.88604,Entire home/apt,279.0,2,254,2025-02-28,1.62,1,279,43,0363 E3FA A6F6 2112 7636
32,247805,"Bellavista, central,with canal view",1298735,Carolien,De Baarsjes - Oud-West,52.36707,4.87348,Private room,116.0,2,527,2025-02-13,3.26,1,48,70,0363 157A 14AF 5451 77C3
35,255809,Stylish apartment free carpark,1344947,André Charles,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,186.0,2,245,2025-02-16,1.57,1,234,51,0363 A842 020A 9193 B416
40,286500,"Centre, canal view with private bathroom",1491565,David,Centrum-West,52.37561,4.9,Private room,147.0,3,401,2025-02-23,2.52,2,181,29,0363 DF01 FBC0 496B 9730
41,290701,"Central, big window, rear room with private bath.",1491565,David,Centrum-West,52.37561,4.9,Private room,147.0,3,485,2025-02-15,3.06,2,216,38,0363 DF01 FBC0 496B 9730
42,291752,Cozy & large bohemian style room,1511330,Ton,Oud-Oost,52.35179,4.91082,Private room,150.0,3,271,2024-10-09,1.69,1,297,18,0363 6ACC BA1B 12A9 60C1
43,304082,"Private, quiet studio in the centre with terrace",276068,Mirre,Centrum-West,52.37239,4.89657,Entire home/apt,165.0,3,344,2025-02-15,2.18,1,218,50,0363 6C40 7413 ADD3 9AF8
45,306852,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,Centrum-Oost,52.35931,4.89844,Entire home/apt,234.0,4,32,2023-04-01,0.21,3,0,0,0363 33C3 B936 3911 FC42
46,307497,Historical sailing ship Amsterdam,1582128,Jorn,Westerpark,52.39185,4.8869,Entire home/apt,385.0,2,103,2024-05-12,0.68,2,241,1,Exempt
47,307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,Centrum-Oost,52.35871,4.89616,Entire home/apt,133.0,3,6,2023-03-27,0.04,3,0,0,0363 33C3 B936 3911 FC42
48,308028,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,Centrum-Oost,52.35972,4.8975,Private room,100.0,3,36,2023-02-28,0.27,3,0,0,0363 33C3 B936 3911 FC42
49,311124,*historic centre* *bright* *canal view* *Jordaan*,1600010,Anke & Robert,Centrum-West,52.37104,4.87713,Entire home/apt,325.0,5,96,2025-01-02,0.61,1,342,6,0363 59D8 7D30 6CFA DC81
50,327285,beautiful designed ap.+bikes+garden+boat!,1672823,Ester,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,197.0,3,732,2025-02-28,4.63,1,67,92,0363 8A88 B129 62B5 BD4E
51,331946,great family house only suitable for fam with kids,1687595,Sebastiaan,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,275.0,2,35,2025-01-02,0.25,1,5,7,0363 A942 21DC C431 1AD1
52,343094,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,Oud-Oost,52.35715,4.90926,Private room,104.0,5,565,2025-02-16,3.61,1,164,45,0363 FC71 F7DB 3AB4 3C42
